Feature,Weight,Absolute Weight
TOT_POPULATION,0.8748980292324261,0.8748980292324261
TOT_POPULATION_3YR_ROLLING,-0.38600516681597885,0.38600516681597885
GEO_ID_1600000US3651000,0.2574572730248925,0.2574572730248925
lag_TOT_CIV_POP,0.20893145976025354,0.20893145976025354
TOT_CIV_POP,-0.17546412561076685,0.17546412561076685
GEO_ID_1600000US0644000,0.1744171846324214,0.1744171846324214
GEO_ID_1600000US1714000,0.14430539466765935,0.14430539466765935
GEO_ID_1600000US4835000,0.13291111537998376,0.13291111537998376
GEO_ID_1600000US4260000,0.13286486844575124,0.13286486844575124
CIV_POP_16,0.11655300639310273,0.11655300639310273
GEO_ID_1600000US0455000,0.10791384581345284,0.10791384581345284
CIV_POP_18+,-0.10768492748732653,0.10768492748732653
GEO_ID_1600000US4865000,0.10452820548637413,0.10452820548637413
GEO_ID_1600000US0666000,0.1003798470495456,0.1003798470495456
GEO_ID_1600000US0681666,-0.09999477854923493,0.09999477854923493
lag_TOT_POPULATION,0.09743126560626086,0.09743126560626086
GEO_ID_1600000US3673000,-0.09283881367541753,0.09283881367541753
GEO_ID_1600000US0843000,-0.0810025444230386,0.0810025444230386
GEO_ID_1600000US0668000,0.07718063072559077,0.07718063072559077
GEO_ID_1600000US3663000,-0.07277433466524356,0.07277433466524356
GEO_ID_1600000US0670098,-0.07190854583040361,0.07190854583040361
GEO_ID_1600000US0640130,-0.07169303097682955,0.07169303097682955
GEO_ID_1600000US1270600,-0.07006715861896448,0.07006715861896448
GEO_ID_1600000US5374060,-0.06884303687835067,0.06884303687835067
GEO_ID_1600000US4805000,0.06831585317451223,0.06831585317451223
GEO_ID_1600000US2634000,-0.06646612981962699,0.06646612981962699
GEO_ID_1600000US4827000,0.0654905289268819,0.0654905289268819
GEO_ID_1600000US1150000,0.06164362634496018,0.06164362634496018
GEO_ID_1600000US3712000,0.061430371158631064,0.061430371158631064
GEO_ID_1600000US0667000,0.0612212898716993,0.0612212898716993
GEO_ID_1600000US1235000,0.06066409455850677,0.06066409455850677
GEO_ID_1600000US0664224,-0.05895620490159853,0.05895620490159853
GEO_ID_1600000US3918000,0.05858142544284607,0.05858142544284607
GEO_ID_1600000US0630000,-0.05813321762226086,0.05813321762226086
GEO_ID_1600000US2507000,0.058008356206214515,0.058008356206214515
GEO_ID_1600000US3271400,-0.05647221156710563,0.05647221156710563
GEO_ID_1600000US5370000,-0.05576172950120542,0.05576172950120542
GEO_ID_1600000US0629000,-0.055725584171489914,0.055725584171489914
GEO_ID_1600000US0648354,-0.05534503890310142,0.05534503890310142
GEO_ID_1600000US1825000,-0.05409560338023443,0.05409560338023443
GEO_ID_1600000US3684000,-0.05249487996646052,0.05249487996646052
GEO_ID_1600000US5167000,-0.05034676364774028,0.05034676364774028
GEO_ID_1600000US4830464,-0.049239238781249514,0.049239238781249514
lag_CIV_POP_16,0.048908600915863555,0.048908600915863555
GEO_ID_1600000US1263000,-0.047892232398026195,0.047892232398026195
GEO_ID_1600000US3611000,-0.04775409795076981,0.04775409795076981
GEO_ID_1600000US5548000,-0.047486381854870446,0.047486381854870446
GEO_ID_1600000US1836003,0.04504709012573818,0.04504709012573818
GEO_ID_1600000US2965000,-0.04460923505845692,0.04460923505845692
GEO_ID_1600000US4261000,-0.0441355516808832,0.0441355516808832
GEO_ID_1600000US2404000,0.04365653511217957,0.04365653511217957
GEO_ID_1600000US0665000,-0.04216684980116621,0.04216684980116621
GEO_ID_1600000US3260600,-0.041684748377737404,0.041684748377737404
GEO_ID_1600000US0820000,0.04145503018862957,0.04145503018862957
GEO_ID_1600000US4829000,-0.04132753410220476,0.04132753410220476
GEO_ID_1600000US3254600,-0.041275597110761265,0.041275597110761265
GEO_ID_1600000US4824000,0.04118698844830493,0.04118698844830493
GEO_ID_1600000US3915000,-0.0399388102801917,0.0399388102801917
GEO_ID_1600000US3728000,-0.03889178138338962,0.03889178138338962
GEO_ID_1600000US0427820,-0.03886100497809178,0.03886100497809178
GEO_ID_1600000US3719000,-0.03608608063974599,0.03608608063974599
GEO_ID_1600000US3722920,-0.03541035129113375,0.03541035129113375
GEO_ID_1600000US3240000,0.03360202900369491,0.03360202900369491
GEO_ID_1600000US5363000,0.03346159098152537,0.03346159098152537
GEO_ID_1600000US4752006,0.03345553722666676,0.03345553722666676
lag_CIV_POP_18+,-0.03311147319563533,0.03311147319563533
GEO_ID_1600000US3128000,-0.03211070008057222,0.03211070008057222
GEO_ID_1600000US3251800,-0.03133005847826431,0.03133005847826431
GEO_ID_1600000US4837000,-0.03128870488682979,0.03128870488682979
GEO_ID_1600000US4055000,0.03125458745124042,0.03125458745124042
GEO_ID_1600000US2146027,-0.03059889819131061,0.03059889819131061
GEO_ID_1600000US2758000,-0.029511857824990613,0.029511857824990613
TOT_HH,0.02856547826433544,0.02856547826433544
GEO_ID_1600000US0654652,-0.027417588820763672,0.027417588820763672
GEO_ID_1600000US3231900,-0.02637618455145368,0.02637618455145368
GEO_ID_1600000US3916000,-0.026233033250300603,0.026233033250300603
GEO_ID_1600000US5157000,-0.02484548822468787,0.02484548822468787
GEO_ID_1600000US4159000,0.022434128518696674,0.022434128518696674
GEO_ID_1600000US4817000,-0.02227695630695798,0.02227695630695798
GEO_ID_1600000US0613392,-0.021606184532694486,0.021606184532694486
GEO_ID_1600000US4748000,0.0205990725910993,0.0205990725910993
GEO_ID_1600000US0203000,-0.020011746580675192,0.020011746580675192
GEO_ID_1600000US0675000,-0.01932584554949609,0.01932584554949609
GEO_ID_1600000US0627000,0.01931789756410008,0.01931789756410008
TOT_HOUSING_UNITS,-0.01886081624698306,0.01886081624698306
GEO_ID_1600000US4075000,-0.018480891528953575,0.018480891528953575
GEO_ID_1600000US2079000,-0.01844141444939038,0.01844141444939038
GEO_ID_1600000US2148006,0.018241079902233573,0.018241079902233573
GEO_ID_1600000US5553000,0.016492447072781247,0.016492447072781247
GEO_ID_1600000US0446000,0.016099542868976927,0.016099542868976927
GEO_ID_1600000US2622000,0.01606719929615937,0.01606719929615937
GEO_ID_1600000US0669000,0.015564976628958997,0.015564976628958997
GEO_ID_1600000US5182000,0.014625722566166604,0.014625722566166604
lag_TOT_HH,0.013167749118472329,0.013167749118472329
lag_TOT_HOUSING_UNITS,0.012927453026164229,0.012927453026164229
P_LABOR_FORCE,-0.011108824011158987,0.011108824011158987
GEO_ID_1600000US1304000,0.011041586551403762,0.011041586551403762
GEO_ID_1600000US3755000,0.009253059201950404,0.009253059201950404
GEO_ID_1600000US0816000,0.00902319423448722,0.00902319423448722
GEO_ID_1600000US1271000,-0.008493316407543266,0.008493316407543266
GEO_ID_1600000US2255000,-0.008326819517153805,0.008326819517153805
GEO_ID_1600000US0662000,-0.008148759471680455,0.008148759471680455
GEO_ID_1600000US3502000,0.008068628197931792,0.008068628197931792
GEO_ID_1600000US0477000,0.008020902154762748,0.008020902154762748
GEO_ID_1600000US2743000,-0.007967443500134775,0.007967443500134775
GEO_ID_1600000US0664000,0.007562205513394449,0.007562205513394449
GEO_ID_1600000US0643000,0.006123670613000152,0.006123670613000152
GEO_ID_1600000US3137000,0.005744407560453158,0.005744407560453158
GEO_ID_1600000US1571550,-0.005462632289883276,0.005462632289883276
P_1_UNIT_DETACHED,0.0052174309226224735,0.0052174309226224735
lag_P_1_UNIT_DETACHED,0.004669984477197988,0.004669984477197988
GEO_ID_1600000US4804000,-0.00440385365154417,0.00440385365154417
lag_P_LABOR_FORCE,-0.004155178324727626,0.004155178324727626
P_BACHELORS_PLUS,0.003600491564172732,0.003600491564172732
GEO_ID_1600000US0653000,-0.0034316026504106326,0.0034316026504106326
P_GRAD_DEGREE,-0.0032606133454411296,0.0032606133454411296
lag_P_BACHELORS_PLUS,0.0029364771291794517,0.0029364771291794517
lag_P_3PLUS_VEHICLES,-0.002569449674488286,0.002569449674488286
P_1_BEDROOM,0.002545899964128309,0.002545899964128309
GEO_ID_1600000US0603526,-0.002481734459776501,0.002481734459776501
P_HH_INCOME_200K_PLUS,0.002208258179474126,0.002208258179474126
lag_P_HH_INCOME_200K_PLUS,-0.002091732711385085,0.002091732711385085
GEO_ID_1600000US0804000,0.0016783252062771495,0.0016783252062771495
lag_P_COMMUTE_PUBLIC,-0.0013170795272907689,0.0013170795272907689
lag_P_1_BEDROOM,-0.0013039856289232127,0.0013039856289232127
lag_AVG_COMMUTE_TIME,0.0012409790750756815,0.0012409790750756815
P_3PLUS_VEHICLES,-0.001232671007704595,0.001232671007704595
