Feature,Weight,Absolute Weight
TOT_POPULATION,0.8748980292324261,0.8748980292324261
TOT_POPULATION_3YR_ROLLING,-0.38600516681597885,0.38600516681597885
lag_TOT_CIV_POP,0.20893145976025354,0.20893145976025354
TOT_CIV_POP,-0.17546412561076685,0.17546412561076685
CIV_POP_16,0.11655300639310273,0.11655300639310273
CIV_POP_18+,-0.10768492748732653,0.10768492748732653
lag_TOT_POPULATION,0.09743126560626086,0.09743126560626086
lag_CIV_POP_16,0.048908600915863555,0.048908600915863555
lag_CIV_POP_18+,-0.03311147319563533,0.03311147319563533
TOT_HH,0.02856547826433544,0.02856547826433544
TOT_HOUSING_UNITS,-0.01886081624698306,0.01886081624698306
lag_TOT_HH,0.013167749118472329,0.013167749118472329
lag_TOT_HOUSING_UNITS,0.012927453026164229,0.012927453026164229
P_LABOR_FORCE,-0.011108824011158987,0.011108824011158987
P_1_UNIT_DETACHED,0.0052174309226224735,0.0052174309226224735
lag_P_1_UNIT_DETACHED,0.004669984477197988,0.004669984477197988
lag_P_LABOR_FORCE,-0.004155178324727626,0.004155178324727626
P_BACHELORS_PLUS,0.003600491564172732,0.003600491564172732
P_GRAD_DEGREE,-0.0032606133454411296,0.0032606133454411296
lag_P_BACHELORS_PLUS,0.0029364771291794517,0.0029364771291794517
